researcher_name,orcid,institution,country,works_count,cited_by_count
Catherine E. Housecroft,https://orcid.org/0000-0002-8074-0089,University of Basel,CH,1435,15943
Robert Ruffolo,,,,1435,9397
K. Androsov,https://orcid.org/0000-0003-2694-6542,Mitchell Institute,US,1435,64972
Cameron Jones,https://orcid.org/0000-0002-7269-1045,University of San Diego,US,1434,22666
Gillian Reid,https://orcid.org/0000-0001-5349-3468,University of Southampton,GB,1434,11157
Dirk M. Guldi,https://orcid.org/0000-0002-3960-1765,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,1434,56430
Media Services,,,,1434,35
A. Canepa,https://orcid.org/0000-0003-4045-3998,Fermi National Accelerator Laboratory,US,1434,85131
Yongfang Li,https://orcid.org/0000-0002-2565-2748,Chinese Academy of Sciences,CN,1434,114706
M.B. Hursthouse,,,,1434,2146
Todd B. Marder,https://orcid.org/0000-0002-9990-0169,University of Würzburg,DE,1433,39871
Anthony S. David,https://orcid.org/0000-0003-0967-774X,Anthony Nolan,GB,1433,72754
Keqi Tang,https://orcid.org/0000-0003-0316-6850,Ningbo University,CN,1433,11190
Frank E. Buttolph,,,,1433,23
William W. Brennessel,https://orcid.org/0000-0001-5461-1825,University of Rochester,US,1433,15798
Alberto Zanchetti,https://orcid.org/0000-0003-4796-7959,,,1433,113816
John Cort,https://orcid.org/0000-0001-6342-6461,Pacific Northwest National Laboratory,US,1433,5102
Rui Zhang,https://orcid.org/0000-0002-8729-8393,National University of Singapore,SG,1433,110293
Hong‐Yuan Chen,https://orcid.org/0000-0001-5217-668X,Center for Innovation,US,1433,72890
C. Dozen,https://orcid.org/0000-0002-4301-634X,Yıldız Technical University,TR,1433,77677
B. G. Marsden,,University of Oxford,GB,1433,5177
Ryan Feng,https://orcid.org/0000-0002-4767-274X,,,1432,100
Paulo B. Lourénço,https://orcid.org/0000-0001-8459-0199,Institute for Sustainability,GB,1432,31001
Tony Q. S. Quek,https://orcid.org/0000-0002-4037-3149,Singapore University of Technology and Design,SG,1432,31327
John Wright,https://orcid.org/0000-0001-9572-7293,University of Bradford,GB,1432,49224
Naoto T. Ueno,https://orcid.org/0000-0002-0166-7275,University of Hawaiʻi at Mānoa,US,1432,49965
Shanhui Fan,https://orcid.org/0000-0002-0081-9732,Stanford University,US,1432,112174
Eberhard Ritz,,,,1432,62102
Kaushik Roy,https://orcid.org/0000-0002-0735-9695,Purdue University West Lafayette,US,1431,48627
Robert Schmitt,https://orcid.org/0000-0002-0011-5962,Fraunhofer Institute for Production Technology IPT,DE,1431,13852
Hartmut Goldschmidt,https://orcid.org/0000-0003-0961-0035,Heidelberg University,DE,1431,65611
P. M. Tuts,https://orcid.org/0000-0001-6131-5725,Columbia University,US,1431,91414
Elizabeth Pennisi,,,,1431,11304
Jan Van Impe,https://orcid.org/0000-0002-5904-1638,Ghent University,BE,1430,19747
P. A. R. Ade,https://orcid.org/0000-0002-5127-0401,Cardiff University,GB,1430,95343
Victoria Delgado,https://orcid.org/0000-0002-9841-2737,Institute of Molecular Bioimaging and Physiology,IT,1430,271837
Kenji Hashimoto,https://orcid.org/0000-0002-8892-0439,The University of Kitakyushu,JP,1430,50645
李艳,,,,1430,123
Freddy Haesebrouck,https://orcid.org/0000-0002-1709-933X,Ghent University Hospital,BE,1430,45436
M. Cattaneo,https://orcid.org/0000-0001-7707-169X,European Organization for Nuclear Research,CH,1430,56298
P. Križan,https://orcid.org/0000-0002-4967-7675,Twitter (United States),US,1430,49618
Jonathan C. Craig,https://orcid.org/0000-0002-2548-4035,Flinders University,AU,1429,121813
Felice Petraglia,https://orcid.org/0000-0002-8851-625X,European Society for Sexual Medicine,IT,1429,43836
Doménico Ribatti,https://orcid.org/0000-0003-4768-8431,University of Bari Aldo Moro,IT,1429,49076
Geoffrey Burnstock,https://orcid.org/0000-0001-8152-7979,University College London,GB,1429,96628
SHERRY BOSCHERT,,,,1429,95
Gerald F. Watts,https://orcid.org/0000-0003-2276-1524,The University of Western Australia,AU,1429,73501
Bin Zhang,https://orcid.org/0000-0003-0633-2930,Hebei University of Engineering,CN,1429,25378
John Cort,,Pacific Northwest National Laboratory,US,1429,0
Gabrielle Moore,,Environmental Molecular Sciences Laboratory,US,1429,0
Andrey G. Kostianoy,https://orcid.org/0000-0001-7441-5055,Institute of Oceanology. PP Shirshov Russian Academy of Sciences,RU,1428,4957
Xinming Wang,https://orcid.org/0000-0002-1982-0928,Xiamen University,CN,1428,45096
Li,,,,1428,1805
R. Sharma,https://orcid.org/0000-0003-1181-1426,Indian Institute of Science Education and Research Kolkata,IN,1428,54692
GBIF.org User,,,,1428,0
이광호,,,,1427,132
民事訴訟法研究会,,,,1427,0
Tetsuya Ōsaka,https://orcid.org/0000-0001-8307-132X,Waseda University,JP,1427,22502
S. Chattopadhyay,https://orcid.org/0000-0003-1097-8806,Variable Energy Cyclotron Centre,IN,1427,77232
Toshio Ogihara,https://orcid.org/0000-0002-7119-7192,,,1427,45232
Naveen Pemmaraju,https://orcid.org/0000-0002-1670-6513,The University of Texas MD Anderson Cancer Center,US,1427,23324
P. Klimek,https://orcid.org/0000-0003-1661-6873,Brookhaven National Laboratory,US,1427,89987
J Gordon Millichap,https://orcid.org/0000-0002-0173-7931,Northwestern University,US,1427,4066
María Fernánda,,,,1427,265
Werner Kaminsky,https://orcid.org/0000-0002-9100-4909,University of Washington,US,1426,17644
Bingfang Wu,https://orcid.org/0000-0001-5546-365X,Chinese Academy of Sciences,CN,1426,19339
Toshifumi Hibi∥,https://orcid.org/0000-0002-6256-1204,Keio University,JP,1426,43400
Joel Schwartz,https://orcid.org/0000-0001-6168-378X,Harvard University,US,1426,122330
E. Gramstad,https://orcid.org/0000-0001-5792-5352,OsloMet – Oslo Metropolitan University,NO,1426,81765
Michael J. Ackerman,https://orcid.org/0000-0002-8011-3333,Mayo Clinic,US,1426,83829
L. Demortier,https://orcid.org/0000-0002-0499-4298,Rockefeller University,US,1426,95210
Gerhard Kühn,https://orcid.org/0000-0001-6069-7485,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,DE,1426,13882
Bryan Putnam,,National Oceanic and Atmospheric Administration,US,1426,0
S. Chen,https://orcid.org/0000-0002-8647-1828,Nanjing University of Chinese Medicine,CN,1426,61363
D. De Jesus Damião,https://orcid.org/0000-0002-3769-1680,Universidade do Estado do Rio de Janeiro,BR,1426,85350
Nicolaus Kröger,https://orcid.org/0000-0001-5103-9966,Universität Hamburg,DE,1425,46695
Rudolf Steiner,https://orcid.org/0009-0004-4722-5458,Kwame Nkrumah University of Science and Technology,GH,1425,2668
Leroy Cronin,https://orcid.org/0000-0001-8035-5757,University of Glasgow,GB,1425,41765
C. S. Kochanek,https://orcid.org/0000-0001-6017-2961,The Ohio State University,US,1425,37654
Jagadese J. Vittal,https://orcid.org/0000-0001-8302-0733,National University of Singapore,SG,1425,27851
이종민,,,,1425,137
Axel Haverich,https://orcid.org/0000-0002-0991-2650,Medizinische Hochschule Hannover,DE,1425,49216
Massachusetts Archives Digital Archive Of Native American Petitions,,,,1425,0
Kenji Mori,https://orcid.org/0000-0003-2152-5167,,,1425,21241
Piotr Ponikowski,https://orcid.org/0000-0002-3391-7064,University of Wrocław,PL,1424,272157
Guido Sauter,https://orcid.org/0000-0002-9024-4978,Universität Hamburg,DE,1424,110654
Georgios B. Giannakis,https://orcid.org/0000-0002-0196-0260,University of Minnesota,US,1424,70878
John Atack,https://orcid.org/0000-0002-3410-791X,Discovery Institute,US,1424,14539
M. Jeitler,https://orcid.org/0000-0002-5141-9560,TU Wien,AT,1424,83112
Min,,Children's Hospital of Capital Institute of Pediatrics,CN,1424,1876
Kostya Ostrikov,https://orcid.org/0000-0001-8672-9297,Queensland University of Technology,AU,1423,50616
David Y. Graham,https://orcid.org/0000-0002-6908-8317,University College Hospital,GB,1423,100236
Charles A. Nelson,https://orcid.org/0000-0002-4723-247X,Boston Children's Hospital,US,1423,82857
C. Alpigiani,https://orcid.org/0000-0002-7641-5814,University of Washington,US,1423,65452
Lei Liu,https://orcid.org/0000-0002-9714-2130,China Electronics Technology Group Corporation,CN,1423,38864
Xin Yao,https://orcid.org/0000-0001-8837-4442,Zhejiang Normal University,CN,1423,68487
Alex Phillips,,Duke University,US,1423,13
Carl H. June,https://orcid.org/0000-0003-0241-3557,Hospital of the University of Pennsylvania,US,1422,149296
Valerie H. Curran,https://orcid.org/0000-0001-6041-5214,,,1422,3391
Rodolphe Clérac,https://orcid.org/0000-0002-7515-7593,École Polytechnique Fédérale de Lausanne,CH,1422,27870
Eugene V. Koonin,https://orcid.org/0000-0003-3943-8299,National Institutes of Health,US,1422,214431
Ning Wang,https://orcid.org/0000-0003-1745-1425,Zhejiang Sci-Tech University,CN,1422,24039
Kurt Huber,https://orcid.org/0000-0002-7934-5524,National Heart Foundation of Australia,AU,1422,80465
R. Breedon,https://orcid.org/0000-0001-5314-7581,University of California System,US,1422,80218
A. Zoccoli,https://orcid.org/0000-0002-0993-6185,"Istituto Nazionale di Fisica Nucleare, Sezione di Bologna",IT,1422,70264
L. Schultz,,Leibniz Institute for Solid State and Materials Research,DE,1422,47576
Jean’ne M. Shreeve,https://orcid.org/0000-0001-8622-4897,University of Idaho,US,1421,38584
S. Mereghetti,https://orcid.org/0000-0003-3259-7801,,,1421,23372
Lynne R. Wilkens,https://orcid.org/0000-0001-8408-4536,University of Hawaiʻi at Mānoa,US,1421,57452
李琳,,,,1421,44
Xinliang Zhang,https://orcid.org/0000-0001-8513-3328,University of Electronic Science and Technology of China,CN,1421,19812
Kezhi Li,https://orcid.org/0000-0003-3073-3128,University College London Hospitals NHS Foundation Trust,GB,1421,4213
M. Albrow,https://orcid.org/0000-0001-7329-4925,Fermi National Accelerator Laboratory,US,1421,63117
Charles Spence,https://orcid.org/0000-0003-2111-072X,University of Oxford,GB,1420,76405
Demetrius Albanes,https://orcid.org/0000-0001-8330-4293,National Cancer Institute,US,1420,70068
Petr Štěpnička,https://orcid.org/0000-0002-5966-0578,Charles University,CZ,1420,6656
Jingjing Wang,https://orcid.org/0000-0003-3170-8952,Southwest University,CN,1420,27992
Md. Nazrul Islam,https://orcid.org/0000-0003-1023-847X,Centro Científico Tecnológico - Tandil,AR,1420,20788
Shigang Chen,,University of Florida,US,1420,0
EFA,,,,1420,0
Zhuoya ZHOU,,,,1420,0
A. Bethani,https://orcid.org/0000-0002-8150-7043,UCLouvain,BE,1419,81777
Young Joo Park,https://orcid.org/0000-0002-3671-6364,Sutro Biopharma (United States),US,1419,20074
Michael R. Hamblin,https://orcid.org/0000-0001-6431-4605,University of Johannesburg,ZA,1418,108924
Kelly K. Hunt,https://orcid.org/0000-0001-9156-8723,The University of Texas MD Anderson Cancer Center,US,1418,61780
J. Schwandt,https://orcid.org/0000-0002-0052-597X,Universität Hamburg,DE,1418,53844
Vadim Yu. Kukushkin,https://orcid.org/0000-0002-2253-085X,Altai State University,RU,1418,14692
S. A. Olivares Pino,https://orcid.org/0000-0003-4616-6973,Universidad Andrés Bello,CL,1418,89919
J. N. Butler,https://orcid.org/0000-0002-0745-8618,Fermi National Accelerator Laboratory,US,1418,73317
M. Johnson,https://orcid.org/0000-0001-7757-8458,Fermi National Accelerator Laboratory,US,1418,63619
Gina Pugliese,,,,1418,2202
Vincent Dorcet,https://orcid.org/0000-0001-9423-995X,Institut des Sciences Chimiques de Rennes,FR,1417,8653
Stephen R. Bloom,https://orcid.org/0000-0003-1542-2348,Imperial College London,GB,1417,105313
N. Nikiforou,https://orcid.org/0000-0003-1267-7740,Laboratoire de Physique Nucléaire et de Hautes Énergies,FR,1417,81087
Percy Bysshe Shelley,,,,1417,3587
J. Freeman,https://orcid.org/0000-0002-3415-5671,Fermi National Accelerator Laboratory,US,1417,68813
Yoshihiro Ogawa,https://orcid.org/0000-0002-0834-2836,Kyushu University,JP,1417,54693
Dawei Zhang,https://orcid.org/0000-0002-0841-7826,Shandong University of Traditional Chinese Medicine,CN,1417,21365
J. Greiner,https://orcid.org/0000-0002-9875-426X,Max Planck Institute for Extraterrestrial Physics,DE,1416,38774
Cyril Höschl,https://orcid.org/0000-0002-3613-0099,National Institute of Mental Health,CZ,1416,9831
Jinlong Zhang,https://orcid.org/0000-0002-1334-6436,Shanghai University,CN,1416,65590
T. Hryn’ova,https://orcid.org/0000-0001-5914-8614,Laboratoire d’Annecy de Physique des Particules,FR,1416,69645
St. Swithin,,,,1415,68
Matthias W. Beckmann,https://orcid.org/0000-0002-8441-693X,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,1415,36113
S. Mitra,https://orcid.org/0000-0002-3060-2278,,,1415,47237
H. Ahmad,https://orcid.org/0000-0002-9599-2086,State University of Malang,ID,1415,18325
Eun Young Choi,https://orcid.org/0000-0002-7587-6272,University of Southern California,US,1415,2172
Craig Martin,https://orcid.org/0000-0001-7663-4841,,,1415,1100
Jack K. Clegg,https://orcid.org/0000-0002-7140-5596,The University of Queensland,AU,1415,8840
Kmc Cheung,https://orcid.org/0000-0001-8304-0419,Shenzhen Metro (China),CN,1415,26322
Akihiko Ito,https://orcid.org/0000-0001-5265-0791,The University of Tokyo,JP,1415,22012
- CREATOR UNKNOWN -,,,,1415,0
Jing Jing,https://orcid.org/0000-0003-2207-8143,Dalian Medical University,CN,1414,1960
Donald M. Lloyd‐Jones,https://orcid.org/0000-0003-0847-6110,Boston University,US,1414,190386
G. Finocchiaro,https://orcid.org/0000-0002-3936-2151,Twitter (United States),US,1414,52734
R. Khurana,https://orcid.org/0000-0001-6030-5189,Florida State University,US,1414,91747
김태현,,,,1413,182
J. Wilms,https://orcid.org/0000-0003-2065-5410,Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,1413,29851
Pete Smith,https://orcid.org/0000-0002-3784-1124,University of Aberdeen,GB,1413,118463
Pierre‐Marie Preux,https://orcid.org/0000-0002-2171-2977,Inserm,FR,1413,27680
Peter R. Carroll,https://orcid.org/0000-0002-1086-4334,"University of California, San Francisco",US,1413,108414
C. N. P. Gee,https://orcid.org/0000-0002-8833-3154,Rutherford Appleton Laboratory,GB,1413,110645
R. Gupta,https://orcid.org/0000-0003-0732-5134,Institute of Medical Sciences,IN,1413,396
"Pérez Barreiro, Fernando, 1896-1968",,,,1413,0
John T. O’Brien,https://orcid.org/0000-0002-0837-5080,MRC Cognition and Brain Sciences Unit,GB,1412,92559
Wang Chao,,Changchun University of Science and Technology,CN,1412,52
Seung‐Woon Rha,https://orcid.org/0000-0001-9456-9852,Korea University Medical Center,KR,1412,17299
Peter Schirmacher,https://orcid.org/0000-0002-0950-3339,Heidelberg University,DE,1412,63540
Roberto Giugliani,https://orcid.org/0000-0001-9655-3686,Universidade Federal do Rio Grande do Sul,BR,1412,25046
Tang,,,,1412,2207
Jian Liu,,Zhejiang University of Science and Technology,CN,1412,0
Michael Untch,https://orcid.org/0000-0002-1233-1267,MSB Medical School Berlin,DE,1411,74264
Paul Elliott,https://orcid.org/0000-0002-7511-5684,Oklahoma State University,US,1411,160916
Michael Marmot,https://orcid.org/0000-0002-2431-6419,University College London,GB,1411,168189
Hans H. Goebel,https://orcid.org/0000-0002-7454-6212,Innsbruck Medical University,AT,1411,39529
Valle Ojeda Servian,,Universidad de Sevilla,ES,1411,0
J. J. Brooke,https://orcid.org/0000-0003-2529-0684,At Bristol,GB,1411,81938
 Visual + Material Resources,,,,1411,0
Peter Shizgal,https://orcid.org/0000-0003-4265-0792,Concordia University,CA,1410,6015
Fabio Ciceri,https://orcid.org/0000-0003-0873-0123,Vita-Salute San Raffaele University,IT,1410,58808
Victoria L. Harvey,https://orcid.org/0000-0001-5956-6664,University College London Hospitals NHS Foundation Trust,GB,1410,3071
S. Parkin,https://orcid.org/0000-0003-4702-6139,Pohang University of Science and Technology,KR,1410,77744
Richard Greil,https://orcid.org/0000-0002-4462-3694,Paracelsus Medical University,AT,1410,52797
Howard I. Scher,https://orcid.org/0000-0002-6791-9324,Memorial Sloan Kettering Cancer Center,US,1410,134186
Dinesh Kumar,https://orcid.org/0000-0003-3602-4023,Chandigarh University,IN,1410,18270
Shigeru Kohno,,Nagasaki University,JP,1410,29187
Nicholas Ward,https://orcid.org/0000-0001-6174-5581,Battelle,US,1409,5551
이승현,,,,1409,127
Vı́ctor Moreno,https://orcid.org/0000-0002-2818-5487,Universidad Francisco de Vitoria,ES,1409,39794
Jean Martínez,https://orcid.org/0000-0002-9267-4621,,,1409,27653
Paul V. Bernhardt,https://orcid.org/0000-0001-6839-1763,The University of Queensland,AU,1409,14889
P. Barria,https://orcid.org/0000-0002-3924-7380,"Istituto Nazionale di Fisica Nucleare, Sezione di Roma I",IT,1409,47533
Robert Stewart,https://orcid.org/0000-0002-4435-6397,Roslin Institute,GB,1409,46596
R. Albert Mohler,https://orcid.org/0000-0001-8637-7818,Düsseldorf University Hospital,DE,1409,2656
Yang,,,,1409,2307
Daniel Stern,https://orcid.org/0000-0003-2686-9241,Jet Propulsion Laboratory,US,1408,66907
Kurt Binder,https://orcid.org/0009-0000-9597-8180,,,1408,79156
Jerry P. Jasinski,https://orcid.org/0000-0003-2302-1886,Keene State College,US,1408,5899
Rattan Lal,https://orcid.org/0000-0002-9016-2972,Ohio Department of Natural Resources,US,1408,123636
Carmine Zoccali,https://orcid.org/0000-0002-6616-1996,Università Campus Bio-Medico,IT,1408,59480
D. Mason,https://orcid.org/0000-0002-0074-5390,Fermi National Accelerator Laboratory,US,1408,83091
Chongjian Lin,,,,1408,0
Xinyue Zheng,,,,1408,0
Dingbao Luo,,,,1408,0
Shigang Chen,,,,1408,0
Ulrich Schmid,https://orcid.org/0000-0001-9831-8583,TU Wien,AT,1407,3374
Peter Tugwell,https://orcid.org/0000-0001-5062-0556,University of Ottawa,CA,1407,155235
Michael McCoy,https://orcid.org/0000-0001-6897-8468,University College Hospital,GB,1407,2183
A. Dimitrov,https://orcid.org/0000-0003-2899-701X,SurgOne Foregut Institute,US,1407,71609
Herbert L. Bonkovsky,,Atrium Health Wake Forest Baptist,US,1407,33254
Sadayoshi Ito,https://orcid.org/0000-0002-5092-3626,,,1407,42486
박지영,,,,1407,207
Javier Ellena,https://orcid.org/0000-0002-0676-3098,Federal Institute of São Paulo,BR,1407,7795
Yan Li,https://orcid.org/0000-0002-3828-8340,Ministry of Education of the People's Republic of China,CN,1407,41801
Wendong Zhang,https://orcid.org/0000-0003-1762-9246,Beijing Institute of Technology,CN,1407,17775
H. Caspers,,,,1407,2997
L. A. T. Bauerdick,https://orcid.org/0000-0002-7170-9012,Fermi National Accelerator Laboratory,US,1407,76951
Bernard De Baets,https://orcid.org/0000-0002-3876-620X,Ghent University Hospital,BE,1406,28959
Weihong Tan,https://orcid.org/0000-0002-8066-1524,Hunan University,CN,1406,105483
Federico Capasso,https://orcid.org/0000-0003-4534-8249,Harvard University Press,US,1406,105622
Günther Schuh,https://orcid.org/0000-0002-6076-0701,Fraunhofer Institute for Production Technology IPT,DE,1406,11299
Hugh D. Wilson,https://orcid.org/0000-0001-9411-2246,MRC Laboratory of Molecular Biology,GB,1406,2618
Weidong Zhang,https://orcid.org/0000-0002-4700-1276,Shanghai Jiao Tong University,CN,1406,18363
Thomas S. Huang,https://orcid.org/0000-0001-8474-5859,Central South University,CN,1406,106374
Liping Wang,https://orcid.org/0000-0001-9355-1167,Nanjing University of Chinese Medicine,CN,1406,26071
Alfonso J. Rodríguez‐Morales,https://orcid.org/0000-0001-9773-2192,Universidad Científica del Sur,PE,1405,33145
Massimo Volpe,https://orcid.org/0000-0002-9642-8380,Vita-Salute San Raffaele University,IT,1405,59039
David J. Craik,https://orcid.org/0000-0003-0007-6796,Australian Research Council,AU,1405,53421
Marco Anisetti,https://orcid.org/0000-0002-5438-9467,University of Milan,IT,1405,3683
K. Kordas,https://orcid.org/0000-0003-0486-2081,Jagiellonian University,PL,1405,92865
Jerry A. Shields,,Ministry of Natural Resources and Forestry,CA,1405,55088
B. A. Schumm,https://orcid.org/0000-0002-5394-0317,University of Bern,CH,1404,62520
Mark Lebwohl,https://orcid.org/0000-0002-4705-5303,Mount Sinai Hospital,US,1404,56694
Leo Radom,https://orcid.org/0000-0001-8249-1314,The University of Sydney,AU,1404,42610
Y. Yamamoto,https://orcid.org/0000-0002-4150-6804,NTT (United States),US,1404,56708
Lewis H. Kuller,https://orcid.org/0000-0002-7148-8416,,,1404,119367
Byung‐Soo Kim,https://orcid.org/0000-0001-5210-7430,Inje University,KR,1404,40109
M. Roth,https://orcid.org/0000-0003-1281-4477,Karlsruhe Institute of Technology,DE,1403,59422
In‐Sook Kim,https://orcid.org/0000-0003-0600-8268,Frederick National Laboratory for Cancer Research,US,1403,8244
Wim Desmet,https://orcid.org/0000-0003-2016-7863,Flanders Make (Belgium),BE,1403,13934
Christopher R. Chapple,https://orcid.org/0000-0002-2960-9931,Royal Hallamshire Hospital,GB,1403,41108
Richard J. Smith,https://orcid.org/0000-0003-1201-6731,,,1402,52719
Y. Zhang,https://orcid.org/0000-0002-0157-188X,Zhejiang Chinese Medical University,CN,1402,123884
Anthony Absalom,https://orcid.org/0000-0001-7563-9157,University of Bern,CH,1402,16591
Ian Manners,https://orcid.org/0000-0002-3794-967X,University of Victoria,CA,1402,59579
Li Li,https://orcid.org/0000-0001-6746-4297,Jiangsu University,CN,1402,26013
R. Astalos,https://orcid.org/0000-0001-5095-605X,Lund University,SE,1402,69244
Joseph Henrich,https://orcid.org/0000-0002-5012-0065,Evolutionary Genomics (United States),US,1401,62821
Olivier Blacque,https://orcid.org/0000-0001-9857-4042,ZHAW Zurich University of Applied Sciences,CH,1401,9272
David Price,https://orcid.org/0000-0002-9728-9992,University of Toronto,CA,1401,50335
M. Alexander,https://orcid.org/0000-0002-8148-2392,European Organization for Nuclear Research,CH,1401,45432
Rainer Storb,https://orcid.org/0000-0002-9343-4099,Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa,ZA,1401,98353
Hartmut Döhner,https://orcid.org/0000-0003-2116-5536,Universität Ulm,DE,1401,116085
Wei Li,https://orcid.org/0000-0002-4641-620X,Fudan University,CN,1401,64687
Xu,,,,1401,2338
Richard Strauss,,,,1401,3078
H. J. Kim,https://orcid.org/0000-0001-9787-4684,Korea National University of Transportation,KR,1400,42461
Steven Gallinger,https://orcid.org/0000-0002-6998-9414,Ontario Institute for Cancer Research,CA,1400,69602
R. Madar,https://orcid.org/0000-0002-6875-6408,Universidade Federal da Bahia,BR,1400,68412
Peter K. Liaw,https://orcid.org/0000-0003-0185-3411,Knoxville College,US,1400,77258
Hoon Kim,https://orcid.org/0000-0001-9153-382X,,,1400,8562
I. Mikulec,https://orcid.org/0000-0003-0385-2746,Institute of High Energy Physics,AT,1400,85128
Joan Arehart-Treichel,,,,1400,376
G. Salamanna,https://orcid.org/0000-0002-0861-0052,Roma Tre University,IT,1400,102811
Steven A. Kaplan,https://orcid.org/0000-0003-2558-7306,Icahn School of Medicine at Mount Sinai,US,1400,28099
A. Pérez-Calero Yzquierdo,https://orcid.org/0000-0003-3036-7965,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",ES,1400,67959
James R. Manhart,,Mitchell Institute,US,1399,5419
J. F. Marchand,https://orcid.org/0000-0002-4111-0797,Laboratoire d’Annecy de Physique des Particules,FR,1399,84206
Joachim Heinrich,https://orcid.org/0000-0002-9620-1629,The University of Melbourne,AU,1399,87701
Giuseppe Biondi‐Zoccai,https://orcid.org/0000-0001-6103-8510,Maria Cecilia Hospital,IT,1399,49764
Philip K. Hopke,https://orcid.org/0000-0003-2367-9661,Clarkson University,US,1399,61997
Bing Zhang,https://orcid.org/0000-0002-9725-2524,Shihezi University,CN,1399,42160
Andreas Herber,https://orcid.org/0000-0001-6651-3835,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,DE,1398,8862
김영미,,,,1398,381
Daniel T. L. Shek,https://orcid.org/0000-0003-3359-6229,Hong Kong Polytechnic University,HK,1398,27377
G. Sullivan,https://orcid.org/0000-0001-7007-0926,Research Institute for Fragrance Materials,US,1398,1108
김경미,,,,1398,326
Azeem Latib,https://orcid.org/0000-0001-9035-343X,Albert Einstein College of Medicine,US,1398,39275
Osborne F. X. Almeida,https://orcid.org/0000-0001-7331-6928,Max Planck Institute of Psychiatry,DE,1398,16681
Makena Dettmann,https://orcid.org/0000-0002-7934-1398,Environmental Molecular Sciences Laboratory,US,1398,157
R. V. F. Janssens,https://orcid.org/0000-0001-7095-1715,University of North Carolina at Chapel Hill,US,1398,23405
Kenneth J. Pienta,https://orcid.org/0000-0002-4138-2186,Johns Hopkins University,US,1398,84872
GBIF.org User,,,,1398,0
M. S. Dresselhaus,,,,1397,168960
Gerhard Fettweis,https://orcid.org/0000-0003-4622-1311,Vodafone (Germany),DE,1397,33468
Npm. ........,,,,1397,292
A. Valero,https://orcid.org/0000-0002-9776-5880,Universitat de València,ES,1397,86356
Teruo Okano,https://orcid.org/0000-0002-4470-9842,University of Utah,US,1397,86887
Roger S. McIntyre,https://orcid.org/0000-0003-4733-2523,University of Toronto,CA,1397,75834
Gerhard Wild,,Concern Worldwide US,US,1397,125
Loı̈c Guillevin,https://orcid.org/0000-0001-6463-2160,Université Paris Cité,FR,1397,66567
Peter Rossing,https://orcid.org/0000-0002-1531-4294,University of Copenhagen,DK,1397,80402
Xiaohua Liu,https://orcid.org/0000-0001-9555-0555,Shanghai University of Sport,CN,1397,39733
Qing Wang,https://orcid.org/0000-0002-5968-3235,University of Science and Technology of China,CN,1397,61183
Junbo Ge,https://orcid.org/0000-0002-9360-7332,Shanghai Medical College of Fudan University,CN,1397,44761
Hans‐Jürgen Gdynia,https://orcid.org/0009-0004-0743-9670,Klinik für Psychosomatik,DE,1397,1699
Dinesh Manocha,https://orcid.org/0000-0001-7047-9801,University of North Carolina at Chapel Hill,US,1396,40651
J. Berryhill,https://orcid.org/0000-0002-8124-3033,Fermi National Accelerator Laboratory,US,1396,64760
Lajos Pusztai,https://orcid.org/0000-0001-9632-6686,Yale Cancer Center,US,1396,70023
Maria de Lourdes Bastos,https://orcid.org/0000-0001-9895-503X,Universidade do Porto,PT,1396,23323
Rose Anne Kenny,https://orcid.org/0000-0002-9336-8124,Mercer (Czechia),CZ,1396,64163
Francky Catthoor,https://orcid.org/0000-0002-3599-8515,National Technical University of Athens,GR,1396,18612
M. S. Rangel,https://orcid.org/0000-0002-8690-5198,Universidade Federal do Rio de Janeiro,BR,1396,53236
A. Bay,https://orcid.org/0000-0002-4862-9399,FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic,CZ,1396,53498
Shaf Keshavjee,https://orcid.org/0000-0003-4547-8094,University Health Network,CA,1396,46141
Zhangxin Chen,https://orcid.org/0000-0002-9107-1925,East China University of Science and Technology,CN,1396,32718
W. A. Leight,https://orcid.org/0000-0002-2968-7841,University of Geneva,CH,1396,68770
Nathan Tenney,https://orcid.org/0000-0002-1456-9551,Environmental Molecular Sciences Laboratory,US,1396,70
Esther Duflo,,Massachusetts Institute of Technology,US,1395,64425
S. K. Morgan Ernest,https://orcid.org/0000-0002-6026-8530,University of Florida,US,1395,9125
John L. Volakis,https://orcid.org/0000-0002-0115-2079,Florida International University,US,1395,22858
Sumanta K. Pal,https://orcid.org/0000-0002-1712-0848,City Of Hope National Medical Center,US,1395,34333
Maciej Kubicki,https://orcid.org/0000-0001-7202-9169,Adam Mickiewicz University in Poznań,PL,1395,9758
Itaru Endo,https://orcid.org/0000-0001-5520-8114,Yokohama City University,JP,1395,34574
Qiyong Gong,https://orcid.org/0000-0002-5912-4871,Academy of Medical Sciences,GB,1395,55552
Hongyu Zhao,https://orcid.org/0000-0003-1195-9607,Mongolian University of Science and Technology,MN,1395,60274
Meghan M. Grady,,Rhode Island Department of Health,US,1395,1902
