funding_id,funding_title,funding_agency,funding_type,research_domain,keywords,eligibility,funding_amount,currency,application_deadline,duration,country,description,application_url,status,created_at
JP-JSPS-2026-28279,Research on Agile Methodologies using High-Performance Computing,Japan Society for the Promotion of Science,Cooperative Agreement,Software Engineering,"software engineering, jsps, CI/CD pipelines, software design patterns, refactoring","Individual researchers, scientists, and postdoctoral fellows.",1833000.0,JPY,2027-04-20,12 months,JP,"This program supports research on research into agile methodologies using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Software Engineering.",https://www.jsps.gov/funding/grants/jp-jsps-2026-28279,OPEN,2026-05-03
EU-HEU-2026-34115,Novel Approaches to Ci/Cd Pipelines to Improve Social Well-being,Horizon Europe,Fellowship,Software Engineering,"software engineering, heu, software design patterns, software architecture, static analysis","Ph.D. holders, early-career researchers, and university research groups.",1049000.0,EUR,2026-06-15,24 months,EU,"This program supports novel approaches to research into CI/CD pipelines to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Software Engineering.",https://www.heu.gov/funding/grants/eu-heu-2026-34115,CLOSED,2026-04-09
AU-ARC-2026-57897,Novel Approaches to Software Design Patterns for Next-Generation Infrastructures,Australian Research Council,Cooperative Agreement,Software Engineering,"software engineering, arc, static analysis, CI/CD pipelines, software design patterns",Open to all international organizations and researchers.,891000.0,AUD,2027-01-09,36 months,AU,"This program supports novel approaches to research into software design patterns for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Software Engineering.",https://www.arc.gov/funding/grants/au-arc-2026-57897,OPEN,2026-02-05
US-DOE-2026-31585,Analyzing Static Analysis in Resource-Constrained Environments,Department of Energy,Grant,Software Engineering,"software engineering, doe, software design patterns, CI/CD pipelines, refactoring",Consortia of higher education institutions and private industry partners.,296000.0,USD,2027-07-13,12 months,US,"This program supports analyzing research into static analysis in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Software Engineering.",https://www.doe.gov/funding/grants/us-doe-2026-31585,OPEN,2026-04-09
CA-CIHR-2026-85837,Collaborative Research on Static Analysis for Next-Generation Infrastructures,Canadian Institutes of Health Research,Fellowship,Software Engineering,"software engineering, cihr, agile methodologies, refactoring, software architecture","Individual researchers, scientists, and postdoctoral fellows.",1143000.0,CAD,2026-11-26,36 months,CA,"This program supports collaborative research on research into static analysis for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Software Engineering.",https://www.cihr.gov/funding/grants/ca-cihr-2026-85837,OPEN,2026-04-20
AU-ARC-2026-64773,Strategic Innovation in Refactoring for Global Scale Applications,Australian Research Council,Contract,Software Engineering,"software engineering, arc, static analysis, CI/CD pipelines, refactoring",Consortia of higher education institutions and private industry partners.,704000.0,AUD,2027-05-27,12 months,AU,"This program supports strategic innovation in research into refactoring for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Software Engineering.",https://www.arc.gov/funding/grants/au-arc-2026-64773,OPEN,2026-05-14
US-DOE-2026-19561,Collaborative Research on Static Analysis using High-Performance Computing,Department of Energy,Contract,Software Engineering,"software engineering, doe, agile methodologies, refactoring, static analysis","Ph.D. holders, early-career researchers, and university research groups.",1829000.0,USD,2026-12-23,36 months,US,"This program supports collaborative research on research into static analysis using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Software Engineering.",https://www.doe.gov/funding/grants/us-doe-2026-19561,OPEN,2026-04-26
AU-ARC-2026-70485,Foundational Studies in Software Architecture for Sustainable Development,Australian Research Council,Award,Software Engineering,"software engineering, arc, CI/CD pipelines, refactoring, software design patterns","Academic institutions, non-profit research organizations, and small businesses.",1059000.0,AUD,2026-11-06,60 months,AU,"This program supports foundational studies in research into software architecture for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Software Engineering.",https://www.arc.gov/funding/grants/au-arc-2026-70485,OPEN,2026-04-30
EU-HEU-2026-95909,Research on Ci/Cd Pipelines for Sustainable Development,Horizon Europe,Cooperative Agreement,Software Engineering,"software engineering, heu, static analysis, refactoring, agile methodologies",Consortia of higher education institutions and private industry partners.,1380000.0,EUR,2026-09-08,60 months,EU,"This program supports research on research into CI/CD pipelines for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Software Engineering.",https://www.heu.gov/funding/grants/eu-heu-2026-95909,OPEN,2026-05-21
JP-JSPS-2026-99212,Collaborative Research on Refactoring to Improve Social Well-being,Japan Society for the Promotion of Science,Grant,Software Engineering,"software engineering, jsps, software architecture, agile methodologies, software design patterns",Consortia of higher education institutions and private industry partners.,1547000.0,JPY,2027-04-09,24 months,JP,"This program supports collaborative research on research into refactoring to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Software Engineering.",https://www.jsps.gov/funding/grants/jp-jsps-2026-99212,OPEN,2026-03-21
CA-CIHR-2026-73994,Novel Approaches to Software Architecture using Predictive Analytics,Canadian Institutes of Health Research,Cooperative Agreement,Software Engineering,"software engineering, cihr, software architecture, refactoring, static analysis",Open to all international organizations and researchers.,453000.0,CAD,2026-12-02,48 months,CA,"This program supports novel approaches to research into software architecture using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Software Engineering.",https://www.cihr.gov/funding/grants/ca-cihr-2026-73994,OPEN,2026-07-09
EU-ERC-2026-10569,Investigation of Agile Methodologies in Modern Industry,European Research Council,Cooperative Agreement,Software Engineering,"software engineering, erc, software design patterns, static analysis, software architecture","Ph.D. holders, early-career researchers, and university research groups.",1875000.0,EUR,2026-05-27,60 months,EU,"This program supports investigation of research into agile methodologies in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Software Engineering.",https://www.erc.gov/funding/grants/eu-erc-2026-10569,CLOSED,2026-06-04
EU-HEU-2026-81190,Development of Refactoring to Improve Social Well-being,Horizon Europe,Award,Software Engineering,"software engineering, heu, CI/CD pipelines, agile methodologies, refactoring",Open to all international organizations and researchers.,1433000.0,EUR,2026-12-31,60 months,EU,"This program supports development of research into refactoring to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Software Engineering.",https://www.heu.gov/funding/grants/eu-heu-2026-81190,OPEN,2026-03-26
CA-CIHR-2026-75374,Investigation of Software Architecture to Improve Social Well-being,Canadian Institutes of Health Research,Fellowship,Software Engineering,"software engineering, cihr, static analysis, software design patterns, CI/CD pipelines",Open to all international organizations and researchers.,1360000.0,CAD,2026-05-18,36 months,CA,"This program supports investigation of research into software architecture to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Software Engineering.",https://www.cihr.gov/funding/grants/ca-cihr-2026-75374,ARCHIVED,2026-04-06
US-NSF-2026-83700,Advancements in Ci/Cd Pipelines in Resource-Constrained Environments,National Science Foundation,Award,Software Engineering,"software engineering, nsf, agile methodologies, refactoring, static analysis",Consortia of higher education institutions and private industry partners.,1757000.0,USD,2027-05-15,12 months,US,"This program supports advancements in research into CI/CD pipelines in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Software Engineering.",https://www.nsf.gov/funding/grants/us-nsf-2026-83700,OPEN,2026-02-17
GB-UKRI-2026-22265,Engineering Next-Generation Refactoring with Adaptive Feedback,UK Research and Innovation,Cooperative Agreement,Software Engineering,"software engineering, ukri, agile methodologies, software architecture, software design patterns",Consortia of higher education institutions and private industry partners.,1387000.0,GBP,2027-07-10,12 months,GB,"This program supports engineering next-generation research into refactoring with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Software Engineering.",https://www.ukri.gov/funding/grants/gb-ukri-2026-22265,OPEN,2026-06-30
US-NIH-2026-72284,Advancements in Static Analysis for Sustainable Development,National Institutes of Health,Contract,Software Engineering,"software engineering, nih, software architecture, static analysis, agile methodologies",Consortia of higher education institutions and private industry partners.,1998000.0,USD,2026-06-07,60 months,US,"This program supports advancements in research into static analysis for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Software Engineering.",https://www.nih.gov/funding/grants/us-nih-2026-72284,CLOSED,2026-02-24
US-NIH-2026-18028,Analyzing Agile Methodologies in Resource-Constrained Environments,National Institutes of Health,Contract,Software Engineering,"software engineering, nih, static analysis, software design patterns, agile methodologies","Ph.D. holders, early-career researchers, and university research groups.",880000.0,USD,2026-06-15,48 months,US,"This program supports analyzing research into agile methodologies in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Software Engineering.",https://www.nih.gov/funding/grants/us-nih-2026-18028,ARCHIVED,2026-05-12
EU-ERC-2026-78477,Investigation of Software Design Patterns in High-Risk Environments,European Research Council,Grant,Software Engineering,"software engineering, erc, CI/CD pipelines, software design patterns, static analysis",Open to all international organizations and researchers.,1027000.0,EUR,2026-09-02,36 months,EU,"This program supports investigation of research into software design patterns in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Software Engineering.",https://www.erc.gov/funding/grants/eu-erc-2026-78477,OPEN,2026-01-28
EU-ERC-2026-15513,Engineering Next-Generation Software Architecture for Sustainable Development,European Research Council,Cooperative Agreement,Software Engineering,"software engineering, erc, CI/CD pipelines, software design patterns, software architecture","Academic institutions, non-profit research organizations, and small businesses.",1107000.0,EUR,2026-12-06,36 months,EU,"This program supports engineering next-generation research into software architecture for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Software Engineering.",https://www.erc.gov/funding/grants/eu-erc-2026-15513,OPEN,2026-06-16
AU-ARC-2026-81947,Analyzing Agile Methodologies using High-Performance Computing,Australian Research Council,Award,Software Engineering,"software engineering, arc, software architecture, agile methodologies, CI/CD pipelines",Open to all international organizations and researchers.,1869000.0,AUD,2026-06-02,48 months,AU,"This program supports analyzing research into agile methodologies using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Software Engineering.",https://www.arc.gov/funding/grants/au-arc-2026-81947,CLOSED,2026-02-07
JP-JSPS-2026-94651,Development of Ci/Cd Pipelines using High-Performance Computing,Japan Society for the Promotion of Science,Grant,Software Engineering,"software engineering, jsps, CI/CD pipelines, software architecture, static analysis","Academic institutions, non-profit research organizations, and small businesses.",799000.0,JPY,2026-06-30,60 months,JP,"This program supports development of research into CI/CD pipelines using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Software Engineering.",https://www.jsps.gov/funding/grants/jp-jsps-2026-94651,CLOSED,2026-03-23
AU-ARC-2026-60512,Strategic Innovation in Software Design Patterns for Global Scale Applications,Australian Research Council,Grant,Software Engineering,"software engineering, arc, refactoring, CI/CD pipelines, agile methodologies","Individual researchers, scientists, and postdoctoral fellows.",1409000.0,AUD,2026-08-25,24 months,AU,"This program supports strategic innovation in research into software design patterns for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Software Engineering.",https://www.arc.gov/funding/grants/au-arc-2026-60512,OPEN,2026-03-01
GB-UKRI-2026-13681,Advancements in Static Analysis to Improve Social Well-being,UK Research and Innovation,Contract,Software Engineering,"software engineering, ukri, software architecture, static analysis, agile methodologies",Open to all international organizations and researchers.,573000.0,GBP,2026-08-19,36 months,GB,"This program supports advancements in research into static analysis to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Software Engineering.",https://www.ukri.gov/funding/grants/gb-ukri-2026-13681,OPEN,2026-04-08
CA-CIHR-2026-52880,Strategic Innovation in Software Architecture in Modern Industry,Canadian Institutes of Health Research,Fellowship,Software Engineering,"software engineering, cihr, refactoring, software architecture, static analysis",Consortia of higher education institutions and private industry partners.,555000.0,CAD,2026-11-19,36 months,CA,"This program supports strategic innovation in research into software architecture in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Software Engineering.",https://www.cihr.gov/funding/grants/ca-cihr-2026-52880,OPEN,2026-02-23
CA-CIHR-2026-62452,Collaborative Research on Agile Methodologies using Predictive Analytics,Canadian Institutes of Health Research,Contract,Software Engineering,"software engineering, cihr, agile methodologies, software architecture, software design patterns",Open to all international organizations and researchers.,736000.0,CAD,2027-01-15,60 months,CA,"This program supports collaborative research on research into agile methodologies using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Software Engineering.",https://www.cihr.gov/funding/grants/ca-cihr-2026-62452,OPEN,2026-01-14
CA-CIHR-2026-66066,Foundational Studies in Ci/Cd Pipelines for Global Scale Applications,Canadian Institutes of Health Research,Cooperative Agreement,Software Engineering,"software engineering, cihr, static analysis, software design patterns, refactoring","Ph.D. holders, early-career researchers, and university research groups.",63000.0,CAD,2026-05-16,24 months,CA,"This program supports foundational studies in research into CI/CD pipelines for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Software Engineering.",https://www.cihr.gov/funding/grants/ca-cihr-2026-66066,CLOSED,2026-05-20
US-DOE-2026-72782,Novel Approaches to Ci/Cd Pipelines for Global Scale Applications,Department of Energy,Grant,Software Engineering,"software engineering, doe, software design patterns, software architecture, agile methodologies",Consortia of higher education institutions and private industry partners.,1375000.0,USD,2027-07-03,24 months,US,"This program supports novel approaches to research into CI/CD pipelines for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Software Engineering.",https://www.doe.gov/funding/grants/us-doe-2026-72782,OPEN,2026-02-19
US-DOE-2026-51934,Collaborative Research on Static Analysis with Adaptive Feedback,Department of Energy,Grant,Software Engineering,"software engineering, doe, agile methodologies, static analysis, CI/CD pipelines","Ph.D. holders, early-career researchers, and university research groups.",268000.0,USD,2026-12-18,24 months,US,"This program supports collaborative research on research into static analysis with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Software Engineering.",https://www.doe.gov/funding/grants/us-doe-2026-51934,OPEN,2026-04-27
JP-JSPS-2026-83964,Strategic Innovation in Refactoring for Sustainable Development,Japan Society for the Promotion of Science,Cooperative Agreement,Software Engineering,"software engineering, jsps, static analysis, refactoring, CI/CD pipelines","Individual researchers, scientists, and postdoctoral fellows.",1617000.0,JPY,2027-01-02,24 months,JP,"This program supports strategic innovation in research into refactoring for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Software Engineering.",https://www.jsps.gov/funding/grants/jp-jsps-2026-83964,OPEN,2026-01-30
AU-ARC-2026-25198,Investigation of Static Analysis in Resource-Constrained Environments,Australian Research Council,Grant,Software Engineering,"software engineering, arc, software architecture, static analysis, CI/CD pipelines","Ph.D. holders, early-career researchers, and university research groups.",312000.0,AUD,2026-10-24,48 months,AU,"This program supports investigation of research into static analysis in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Software Engineering.",https://www.arc.gov/funding/grants/au-arc-2026-25198,OPEN,2026-06-07
US-NSF-2026-11129,Strategic Innovation in Agile Methodologies in Modern Industry,National Science Foundation,Cooperative Agreement,Software Engineering,"software engineering, nsf, refactoring, software architecture, software design patterns",Consortia of higher education institutions and private industry partners.,1517000.0,USD,2026-06-07,36 months,US,"This program supports strategic innovation in research into agile methodologies in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Software Engineering.",https://www.nsf.gov/funding/grants/us-nsf-2026-11129,CLOSED,2026-06-24
EU-ERC-2026-98841,Research on Software Design Patterns using Predictive Analytics,European Research Council,Award,Software Engineering,"software engineering, erc, agile methodologies, static analysis, CI/CD pipelines","Academic institutions, non-profit research organizations, and small businesses.",965000.0,EUR,2027-04-18,48 months,EU,"This program supports research on research into software design patterns using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Software Engineering.",https://www.erc.gov/funding/grants/eu-erc-2026-98841,OPEN,2026-01-16
AU-ARC-2026-24199,Novel Approaches to Software Design Patterns for Global Scale Applications,Australian Research Council,Grant,Software Engineering,"software engineering, arc, CI/CD pipelines, software architecture, static analysis",Consortia of higher education institutions and private industry partners.,1630000.0,AUD,2026-11-09,48 months,AU,"This program supports novel approaches to research into software design patterns for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Software Engineering.",https://www.arc.gov/funding/grants/au-arc-2026-24199,OPEN,2026-03-23
CA-CIHR-2026-78683,Development of Refactoring in Resource-Constrained Environments,Canadian Institutes of Health Research,Cooperative Agreement,Software Engineering,"software engineering, cihr, refactoring, software architecture, software design patterns","Ph.D. holders, early-career researchers, and university research groups.",1309000.0,CAD,2026-05-22,36 months,CA,"This program supports development of research into refactoring in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Software Engineering.",https://www.cihr.gov/funding/grants/ca-cihr-2026-78683,CLOSED,2026-05-05
GB-UKRI-2026-35726,Strategic Innovation in Static Analysis to Improve Social Well-being,UK Research and Innovation,Award,Software Engineering,"software engineering, ukri, static analysis, agile methodologies, software design patterns","Ph.D. holders, early-career researchers, and university research groups.",310000.0,GBP,2026-08-15,12 months,GB,"This program supports strategic innovation in research into static analysis to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Software Engineering.",https://www.ukri.gov/funding/grants/gb-ukri-2026-35726,OPEN,2026-01-16
US-NSF-2026-70116,Research on Software Design Patterns in Resource-Constrained Environments,National Science Foundation,Award,Software Engineering,"software engineering, nsf, agile methodologies, software architecture, software design patterns","Individual researchers, scientists, and postdoctoral fellows.",548000.0,USD,2027-04-22,48 months,US,"This program supports research on research into software design patterns in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Software Engineering.",https://www.nsf.gov/funding/grants/us-nsf-2026-70116,OPEN,2026-03-12
US-NIH-2026-20828,Advancements in Kinematics using High-Performance Computing,National Institutes of Health,Grant,Robotics,"robotics, nih, robotic arms, kinematics, SLAM",Open to all international organizations and researchers.,1501000.0,USD,2026-06-18,24 months,US,"This program supports advancements in research into kinematics using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Robotics.",https://www.nih.gov/funding/grants/us-nih-2026-20828,ARCHIVED,2026-07-01
US-DOE-2026-62602,Advancements in Slam for Global Scale Applications,Department of Energy,Fellowship,Robotics,"robotics, doe, human-robot interaction, SLAM, robotic arms",Open to all international organizations and researchers.,585000.0,USD,2027-04-21,48 months,US,"This program supports advancements in research into SLAM for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Robotics.",https://www.doe.gov/funding/grants/us-doe-2026-62602,OPEN,2026-05-20
EU-ERC-2026-51765,Analyzing Slam in High-Risk Environments,European Research Council,Award,Robotics,"robotics, erc, SLAM, path planning, kinematics",Consortia of higher education institutions and private industry partners.,1057000.0,EUR,2026-11-13,12 months,EU,"This program supports analyzing research into SLAM in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Robotics.",https://www.erc.gov/funding/grants/eu-erc-2026-51765,OPEN,2026-05-21
CA-CIHR-2026-71865,Engineering Next-Generation Kinematics in Resource-Constrained Environments,Canadian Institutes of Health Research,Fellowship,Robotics,"robotics, cihr, robotic arms, actuators, human-robot interaction","Ph.D. holders, early-career researchers, and university research groups.",1885000.0,CAD,2026-09-15,60 months,CA,"This program supports engineering next-generation research into kinematics in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Robotics.",https://www.cihr.gov/funding/grants/ca-cihr-2026-71865,OPEN,2026-04-05
US-NSF-2026-37219,Investigation of Robotic Arms in Modern Industry,National Science Foundation,Cooperative Agreement,Robotics,"robotics, nsf, path planning, SLAM, actuators",Consortia of higher education institutions and private industry partners.,916000.0,USD,2026-12-08,36 months,US,"This program supports investigation of research into robotic arms in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Robotics.",https://www.nsf.gov/funding/grants/us-nsf-2026-37219,OPEN,2026-01-25
JP-JSPS-2026-53656,Analyzing Slam in Modern Industry,Japan Society for the Promotion of Science,Grant,Robotics,"robotics, jsps, kinematics, actuators, SLAM","Ph.D. holders, early-career researchers, and university research groups.",313000.0,JPY,2027-04-21,36 months,JP,"This program supports analyzing research into SLAM in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Robotics.",https://www.jsps.gov/funding/grants/jp-jsps-2026-53656,OPEN,2026-03-07
JP-JSPS-2026-61265,Research on Kinematics in Resource-Constrained Environments,Japan Society for the Promotion of Science,Contract,Robotics,"robotics, jsps, human-robot interaction, kinematics, SLAM",Open to all international organizations and researchers.,822000.0,JPY,2027-05-31,12 months,JP,"This program supports research on research into kinematics in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Robotics.",https://www.jsps.gov/funding/grants/jp-jsps-2026-61265,OPEN,2026-01-23
EU-HEU-2026-37324,Collaborative Research on Robotic Arms using High-Performance Computing,Horizon Europe,Cooperative Agreement,Robotics,"robotics, heu, actuators, path planning, SLAM",Consortia of higher education institutions and private industry partners.,465000.0,EUR,2027-04-12,12 months,EU,"This program supports collaborative research on research into robotic arms using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Robotics.",https://www.heu.gov/funding/grants/eu-heu-2026-37324,OPEN,2026-04-01
EU-ERC-2026-59989,Engineering Next-Generation Actuators to Improve Social Well-being,European Research Council,Award,Robotics,"robotics, erc, SLAM, kinematics, path planning","Academic institutions, non-profit research organizations, and small businesses.",166000.0,EUR,2026-06-28,12 months,EU,"This program supports engineering next-generation research into actuators to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Robotics.",https://www.erc.gov/funding/grants/eu-erc-2026-59989,CLOSED,2026-07-09
AU-ARC-2026-78293,Investigation of Actuators for Sustainable Development,Australian Research Council,Contract,Robotics,"robotics, arc, path planning, SLAM, actuators",Consortia of higher education institutions and private industry partners.,1138000.0,AUD,2027-07-09,12 months,AU,"This program supports investigation of research into actuators for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Robotics.",https://www.arc.gov/funding/grants/au-arc-2026-78293,OPEN,2026-04-24
US-NIH-2026-53922,Foundational Studies in Slam in Modern Industry,National Institutes of Health,Fellowship,Robotics,"robotics, nih, actuators, path planning, kinematics",Consortia of higher education institutions and private industry partners.,153000.0,USD,2027-04-28,60 months,US,"This program supports foundational studies in research into SLAM in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Robotics.",https://www.nih.gov/funding/grants/us-nih-2026-53922,OPEN,2026-02-03
AU-ARC-2026-64677,Novel Approaches to Kinematics to Improve Social Well-being,Australian Research Council,Fellowship,Robotics,"robotics, arc, actuators, kinematics, SLAM","Ph.D. holders, early-career researchers, and university research groups.",398000.0,AUD,2026-12-01,60 months,AU,"This program supports novel approaches to research into kinematics to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Robotics.",https://www.arc.gov/funding/grants/au-arc-2026-64677,OPEN,2026-03-28
CA-CIHR-2026-78146,Investigation of Human-Robot Interaction for Global Scale Applications,Canadian Institutes of Health Research,Grant,Robotics,"robotics, cihr, robotic arms, kinematics, human-robot interaction","Ph.D. holders, early-career researchers, and university research groups.",989000.0,CAD,2027-06-17,36 months,CA,"This program supports investigation of research into human-robot interaction for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Robotics.",https://www.cihr.gov/funding/grants/ca-cihr-2026-78146,OPEN,2026-04-26
US-NIH-2026-14762,Advancements in Actuators in High-Risk Environments,National Institutes of Health,Fellowship,Robotics,"robotics, nih, kinematics, SLAM, robotic arms","Individual researchers, scientists, and postdoctoral fellows.",1646000.0,USD,2027-04-24,24 months,US,"This program supports advancements in research into actuators in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Robotics.",https://www.nih.gov/funding/grants/us-nih-2026-14762,OPEN,2026-05-19
AU-ARC-2026-91098,Foundational Studies in Human-Robot Interaction in Modern Industry,Australian Research Council,Award,Robotics,"robotics, arc, actuators, human-robot interaction, path planning","Individual researchers, scientists, and postdoctoral fellows.",1247000.0,AUD,2027-02-23,12 months,AU,"This program supports foundational studies in research into human-robot interaction in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Robotics.",https://www.arc.gov/funding/grants/au-arc-2026-91098,OPEN,2026-06-18
EU-ERC-2026-72176,Novel Approaches to Actuators with Adaptive Feedback,European Research Council,Cooperative Agreement,Robotics,"robotics, erc, robotic arms, actuators, kinematics",Open to all international organizations and researchers.,880000.0,EUR,2026-05-28,48 months,EU,"This program supports novel approaches to research into actuators with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Robotics.",https://www.erc.gov/funding/grants/eu-erc-2026-72176,CLOSED,2026-01-28
